id,slug,status,current,proposed,confidence,decision,title
"1","guide-to-the-ultimate-hangang-night-fireworks-cruise","published","NEWS","FESTIVAL","0.35","review by hand","Guide to the Ultimate Hangang Night & Fireworks Cruise"
"14","where-to-stay-in-gyeongju-10-best-hotels-for-apec-2025-guests","published","NEWS","LOCAL-LIFE","0.39","review by hand","Where to Stay in Gyeongju: 10 Best Hotels for APEC 2025 Guests"
"21","g-dragon-in-dongmyo-flea-market","published","NEWS","LOCAL-LIFE","0.41","review by hand","G-dragon in Dongmyo flea Market"
"36","blackpink039s-top-5-beloved-restaurants","published","NEWS","FOOD","0.57","review by hand","Blackpink&#039;s Top 5 Beloved Restaurants"
"44","best-day-trips-from-seoul-by-train-v5lp","published","LOCALS","TRANSPORT","0.69","review by hand","Best Day Trips from Seoul by Train"
"24","korea-in-chaos-jeju-flight-crash-in-muan-international-airport","published","NEWS","LOCAL-LIFE","0.70","review by hand","Korea in Chaos - Jeju Flight crash in Muan International Airport"
"3","beyond-seoul-the-ultimate-cherry-blossom-road-trip-in-korea-2026","published","NEWS","FESTIVAL","0.72","review by hand","Beyond Seoul: The Ultimate Cherry Blossom Road Trip in Korea 2026"
"18","can-foreigners-visit-dmz-how-to-go","published","NEWS","HOW-TO","0.78","apply","Can foreigners visit DMZ? How to go?"
"10","2026-south-korea-public-holidays-a-complete-guide-for-travelers","published","NEWS","FESTIVAL","0.79","apply","2026 South Korea Public Holidays: A Complete Guide for Travelers"
"48","is-tipping-required-in-korea","published","LOCALS","LOCAL-LIFE","0.79","apply","Is tipping required in Korea?"
"15","must-visit-places-in-gyeongju-city","published","NEWS","K-CULTURE","0.80","apply","Must-Visit Places in Gyeongju City"
"25","korean-traditional-of-making-and-sharing-kimchi-gimjang-and-recipe","published","NEWS","K-CULTURE","0.80","apply","Korean Traditional of making and sharing Kimchi, Gimjang and recipe"
"53","can-i-use-uber-in-korea","published","LOCALS","TRANSPORT","0.83","apply","Can I use Uber in Korea?"
"20","the-water-delivery-service-for-long-term-residents-in-seoul","published","NEWS","LOCAL-LIFE","0.87","apply","The Water Delivery Service  for Long-term Residents in Seoul"
"23","k-protests-unveiled-understanding-south-koreas-movement","published","NEWS","LOCAL-LIFE","0.87","apply","K-Protests Unveiled: Understanding South Korea’s Movement"
"13","bts-tour-news-june-concerts-confirmed-for-busan","published","NEWS","K-CULTURE","0.89","apply","BTS Tour News: June Concerts Confirmed for Busan"
"4","discover-seoul-pass-your-all-in-one-seoul-travel-essential","published","NEWS","HOW-TO","0.91","apply","Discover Seoul Pass : Your All-in-One Seoul Travel Essential"
"29","korean-polite-language-jon-dat-mal","published","NEWS","K-CULTURE","0.91","apply","[Korean] Polite Language, Jon Dat Mal 존댓말"
"49","bts-concert-how-do-i-get-from-seoul-to-goyang","published","K-CULTURE","TRANSPORT","0.92","apply","[BTS Concert] How do I get from Seoul to Goyang?"
"51","free-transit-tour-at-incheon-international-airport-and-how-to-book","published","LOCALS","TRANSPORT","0.94","apply","Free Transit Tour at Incheon International Airport and How to Book"
"22","shop-like-a-local-in-korea-daiso","published","NEWS","HOW-TO","0.95","apply","Shop Like a Local in Korea,  Daiso!"
"39","5-things-you-can-do-like-a-local-in-korea","published","NEWS","LOCAL-LIFE","0.95","apply","5 Things you can do like a Local in Korea"
"5","easy-bts-pilgrimage-2026-visit-every-iconic-spot-without-getting-lost","published","NEWS","K-CULTURE","0.97","apply","Easy BTS Pilgrimage 2026: Visit Every Iconic Spot Without Getting Lost"
"2","a-friendly-guide-to-isaac-toast-how-to-use-your-coupon","published","NEWS","FOOD","0.98","apply","A Friendly Guide to Isaac Toast + How to Use Your Coupon"
"6","lost-wallet-in-seoul-subway-complete-guide","published","NEWS","HOW-TO","0.98","apply","Lost Wallet in Seoul Subway (Complete Guide)"
"37","daily-expression","published","NEWS","K-CULTURE","0.98","apply","Daily Expression"
"42","korean-kimchi-and-where-to-buy","published","NEWS","FOOD","0.98","apply","Korean Kimchi and where to buy"
"7","travel-jeju-through-the-drama-when-life-gives-you-tangerines","published","NEWS","K-CULTURE","0.99","apply","Travel Jeju Through the Drama, When Life Gives You Tangerines"
"8","discover-k-beauty-in-korea-download-olive-young-coupon","published","NEWS","HOW-TO","0.99","apply","Discover K-Beauty in Korea: Download Olive Young Coupon!"
"17","no-cash-on-buses-how-to-use-bus-in-korea-update-guide","published","NEWS","TRANSPORT","0.99","apply","No Cash on Buses! How to Use Bus in Korea ( update guide )"
"45","what-are-the-basic-manners-in-korean-tell-me-common-korean-etiquette","published","KOREAN","LOCAL-LIFE","0.99","apply","What are the basic manners in Korean? Tell me common Korean Etiquette"
"9","how-to-go-jeonju-food-city-by-bus-and-train","published","NEWS","TRANSPORT","1.00","apply","How to go Jeonju (food City) by bus and Train"
